TIME     ,GN,PLCNO,L1JsSq,LH1Dct,L1DCT01,L1DCT02,L1DCT03,L1DCT04,L1DCT05,L1ZZDJStart,LH1StepEN,LH1StepLP,LH1StepLN,LH1StepSq0,LH1StepSqNear,L1LHStep1,L1LHStep2,L1LHStep3,L1LHStep4,L1LHStep5,L1LHForward,L1LHSearch0,L1InputStepS,L1InputStep1,L1InputStep2,L1InputStep3,L1InputStep4,L1InputStep5,L1InputOver,L1ChYStepS,L1ChYStep1,L1ChYStep2,L1ChYStep3,L1ChYStep4,L1ChYStep5,L1ChYStep6,L1ChYStep7,L1ChYStep4_1,L1ChYStepOver,L1LhPosCur,L1OutputNumberCur,L1OutputIndex,L1ChY_QY,L1CyContinue_PC,L1Alarm,L1LhAlarm,L1JsSqAlarm,L1GrooveAlarm,L1GrooveP1Alarm,L1GrooveP2Alarm,L1Reset_PC,L2JsSq,LH2Dct,L2DCT01,L2DCT02,L2DCT03,L2DCT04,L2DCT05,L2ZZDJStart,LH2StepEN,LH2StepLP,LH2StepLN,LH2StepSq0,LH2StepSqNear,L2LHStep1,L2LHStep2,L2LHStep3,L2LHStep4,L2LHStep5,L2LHForward,L2LHSearch0,L2InputStepS,L2InputStep1,L2InputStep2,L2InputStep3,L2InputStep4,L2InputStep5,L2InputOver,L2ChYStepS,L2ChYStep1,L2ChYStep2,L2ChYStep3,L2ChYStep4,L2ChYStep5,L2ChYStep6,L2ChYStep7,L2ChYStep4_1,L2ChYStepOver,L2LhPosCur,L2OutputNumberCur,L2OutputIndex,L2ChY_QY,L2CyContinue_PC,L2Alarm,L2LhAlarm,L2JsSqAlarm,L2GrooveAlarm,L2GrooveP1Alarm,L2GrooveP2Alarm,L2Reset_PC,L3JsSq,LH3Dct,L3DCT01,L3DCT02,L3DCT03,L3DCT04,L3DCT05,L3ZZDJStart,LH3StepEN,LH3StepLP,LH3StepLN,LH3StepSq0,LH3StepSqNear,L3LHStep1,L3LHStep2,L3LHStep3,L3LHStep4,L3LHStep5,L3LHForward,L3LHSearch0,L3InputStepS,L3InputStep1,L3InputStep2,L3InputStep3,L3InputStep4,L3InputStep5,L3InputOver,L3ChYStepS,L3ChYStep1,L3ChYStep2,L3ChYStep3,L3ChYStep4,L3ChYStep5,L3ChYStep6,L3ChYStep7,L3ChYStep4_1,L3ChYStepOver,L3LhPosCur,L3OutputNumberCur,L3OutputIndex,L3ChY_QY,L3CyContinue_PC,L3Alarm,L3LhAlarm,L3JsSqAlarm,L3GrooveAlarm,L3GrooveP1Alarm,L3GrooveP2Alarm,L3Reset_PC,L4JsSq,LH4Dct,L4DCT01,L4DCT02,L4DCT03,L4DCT04,L4DCT05,L4ZZDJStart,LH4StepEN,LH4StepLP,LH4StepLN,LH4StepSq0,LH4StepSqNear,L4LHStep1,L4LHStep2,L4LHStep3,L4LHStep4,L4LHStep5,L4LHForward,L4LHSearch0,L4InputStepS,L4InputStep1,L4InputStep2,L4InputStep3,L4InputStep4,L4InputStep5,L4InputOver,L4ChYStepS,L4ChYStep1,L4ChYStep2,L4ChYStep3,L4ChYStep4,L4ChYStep5,L4ChYStep6,L4ChYStep7,L4ChYStep4_1,L4ChYStepOver,L4LhPosCur,L4OutputNumberCur,L4OutputIndex,L4ChY_QY,L4CyContinue_PC,L4Alarm,L4LhAlarm,L4JsSqAlarm,L4GrooveAlarm,L4GrooveP1Alarm,L4GrooveP2Alarm,L4Reset_PC,OutputSet1,LhPosSet1,OutputSet2,LhPosSet2,OutputSet3,LhPosSet3,OutputSet4,LhPosSet4,OutputSet5,LhPosSet5,StartOutput_PC,XTReset_PC
07/15/16 11:59:56:971     ,GN,PLC_10SYMBOL,Dydj1pRun,Dydj1nRun,Ssdj1Run,Dy1Sq0,Dy1Sq1,StartSs,SsStepOver,SsStepS,SsStep1,SsStep2,SsStep3,SsStep4,SsStep5,SsStep6,TY1StepEN,TY1StepLP,TY1StepLN,TY1StepSq0,TY1StepSqNear,TyPosCur,TyStepS,TyStep1,TyStep2,TyStep3,TyStep4,TyStep5,TySearch0,TyForward,TS1StepLP,TS1StepLN,TS1StepEN,TsPosCur,TS1StepS,TS1Step1,TS1Step2,TS1Step3,TS1Step4,TS1Step5,TS1Forward,TS1Search0,FYStepS,FYStep1,Fy1Over,TyOver,StartFy_PC,SsStep8,XTReset_PC,TS1StepAlarm,TY1StepAlarm,DySq0Alarm,DySq1Alarm,DySqAlarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/15/16 11:59:57:222     ,0,PLC_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35489,2015,0,0,0,0,0,0,0,0,0,0
07/15/16 11:59:57:277     ,0,PLC_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/15/16 11:59:57:608     ,1,PLC_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35489,2015,0,0,0,0,0,0,0,0,1,0
07/15/16 11:59:57:712     ,1,PLC_10,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/15/16 11:59:57:883     ,2,PLC_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35489,2015,0,0,0,0,0,0,0,0,1,0
07/15/16 11:59:57:940     ,2,PLC_10,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/15/16 11:59:58:207     ,3,PLC_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35489,2015,0,0,0,0,0,0,0,0,1,0
07/15/16 11:59:58:258     ,3,PLC_10,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/15/16 11:59:58:424     ,4,PLC_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35489,2015,0,0,0,0,0,0,0,0,1,0
